Steve Jobs;24.2.1955;5.10.2011;Spojené štáty|San Francisco|Kalifornia|USA|Palo Alto
Isaac Newton;4.1.1643;31.3.1727;Londýn|Anglicko|Kensington|Lincolnshire|Woolsthorpe-by-Colsterworth
Václav Havel;5.10.1936;18.12.2011;Vlčice|Praha|Prvá česko-slovenská republika|Hrádeček|ČSR|Česko
Alan Mathison Turing;23.6.1912;7.6.1954;Londýn|Spojené kráľovstvo|Wilmslow
George Boole;2.11.1815;8.12.1864;Írsko|Lincoln|Spojené kráľovstvo|Anglicko|Cork
Enzo Paci;18.9.1911;21.7.1976;Taliansko|Miláno|Monterado
